Wall time,Step,Value
1748588290.7151642,0,0.6790000200271606
1748588343.5846288,1,0.7039999961853027
1748588396.8999906,2,0.746999979019165
1748588450.4227145,3,0.7429999709129333
1748588504.582447,4,0.7559999823570251
1748588557.9144626,5,0.765999972820282
1748588612.0029812,6,0.7829999923706055
1748588665.6289086,7,0.8040000200271606
1748588718.964565,8,0.7680000066757202
1748588771.8212562,9,0.7870000004768372
1748588824.3001199,10,0.7929999828338623
1748588878.265869,11,0.7940000295639038
1748588931.8082192,12,0.7960000038146973
1748588984.9313955,13,0.7889999747276306
1748589038.1554952,14,0.8059999942779541
1748589091.6341898,15,0.7950000166893005
1748589144.97529,16,0.8029999732971191
1748589197.867994,17,0.7979999780654907
1748589251.6246202,18,0.8130000233650208
1748589305.1336904,19,0.8050000071525574
1748589358.3108962,20,0.8080000281333923
1748589411.4936476,21,0.8199999928474426
1748589464.6013045,22,0.8149999976158142
1748589518.0187643,23,0.8100000023841858
1748589571.0886729,24,0.8019999861717224
1748589624.0994105,25,0.7940000295639038
1748589677.5369074,26,0.8119999766349792
1748589730.8164408,27,0.8199999928474426
1748589784.260704,28,0.8090000152587891
1748589837.4924698,29,0.8119999766349792
1748589890.0705044,30,0.7990000247955322
1748589943.5242834,31,0.8050000071525574
1748589996.4906905,32,0.8190000057220459
1748590049.6055608,33,0.8009999990463257
1748590103.0515184,34,0.8080000281333923
1748590155.8123662,35,0.8180000185966492
1748590208.9608123,36,0.8080000281333923
1748590262.4465108,37,0.8140000104904175
1748590315.6385043,38,0.8159999847412109
1748590368.9044785,39,0.8180000185966492
1748590421.435211,40,0.8159999847412109
1748590474.6935813,41,0.8159999847412109
1748590528.1568336,42,0.8119999766349792
1748590581.2445154,43,0.8090000152587891
1748590634.5269146,44,0.8140000104904175
1748590687.61518,45,0.8090000152587891
1748590740.8405704,46,0.8100000023841858
1748590794.5027502,47,0.8140000104904175
1748590847.9971027,48,0.8119999766349792
1748590901.282628,49,0.8090000152587891
1748590954.162634,50,0.8109999895095825
1748591007.4379354,51,0.8109999895095825
1748591060.8575509,52,0.8080000281333923
1748591114.2361305,53,0.8289999961853027
1748591167.8834724,54,0.824999988079071
1748591221.0011063,55,0.8330000042915344
1748591274.6048887,56,0.8209999799728394
1748591328.1072974,57,0.8199999928474426
1748591381.4131522,58,0.824999988079071
1748591434.875685,59,0.8109999895095825
1748591487.879539,60,0.8100000023841858
1748591541.1364322,61,0.8199999928474426
1748591594.3198726,62,0.8259999752044678
1748591646.688223,63,0.8209999799728394
1748591700.1518376,64,0.8140000104904175
1748591753.2669153,65,0.8270000219345093
1748591806.5908096,66,0.8140000104904175
1748591859.6890604,67,0.8190000057220459
1748591912.7619438,68,0.8169999718666077
1748591964.9790654,69,0.8119999766349792
1748592018.7103827,70,0.8130000233650208
1748592072.1123784,71,0.8059999942779541
1748592125.4771192,72,0.8199999928474426
1748592178.437007,73,0.8080000281333923
1748592231.5131688,74,0.8330000042915344
1748592284.8226519,75,0.8140000104904175
1748592338.4892094,76,0.8330000042915344
1748592392.0800061,77,0.828000009059906
1748592444.935782,78,0.8420000076293945
1748592498.0239465,79,0.8230000138282776
1748592550.756829,80,0.8270000219345093
1748592603.695706,81,0.8190000057220459
1748592657.1698763,82,0.824999988079071
1748592710.1663265,83,0.8140000104904175
1748592762.6653848,84,0.8230000138282776
1748592815.6294622,85,0.8339999914169312
1748592868.9024477,86,0.8339999914169312
1748592921.9835896,87,0.8149999976158142
1748592974.9782372,88,0.8299999833106995
1748593028.084784,89,0.8320000171661377
1748593081.2399898,90,0.8119999766349792
1748593134.3081892,91,0.8220000267028809
1748593187.0515556,92,0.8289999961853027
1748593240.2443871,93,0.8190000057220459
1748593293.5317953,94,0.8190000057220459
1748593347.0462205,95,0.8159999847412109
1748593400.231742,96,0.8270000219345093
1748593454.158739,97,0.8149999976158142
1748593507.767109,98,0.8220000267028809
1748593561.203972,99,0.8199999928474426
1748593614.1402068,100,0.8230000138282776
1748593667.3263347,101,0.8190000057220459
1748593720.8756554,102,0.8180000185966492
1748593774.3461301,103,0.8240000009536743
1748593826.4315712,104,0.8270000219345093
1748593879.5789642,105,0.8209999799728394
1748593932.783654,106,0.8259999752044678
1748593985.9078567,107,0.824999988079071
1748594039.074192,108,0.824999988079071
1748594092.688542,109,0.8339999914169312
1748594146.0216043,110,0.8289999961853027
1748594199.1527138,111,0.8259999752044678
1748594252.2421687,112,0.8199999928474426
1748594305.719721,113,0.8119999766349792
1748594359.4089031,114,0.8220000267028809
1748594412.5096996,115,0.8240000009536743
1748594465.7316737,116,0.8169999718666077
1748594518.94167,117,0.8429999947547913
1748594571.7198741,118,0.8320000171661377
1748594625.208469,119,0.8169999718666077
1748594678.7604764,120,0.8289999961853027
1748594732.3612175,121,0.8220000267028809
1748594786.078884,122,0.8259999752044678
1748594839.5264344,123,0.8299999833106995
1748594892.8476045,124,0.824999988079071
1748594946.1283138,125,0.824999988079071
1748594999.6732974,126,0.8289999961853027
1748595052.8100674,127,0.8349999785423279
1748595106.1759188,128,0.8299999833106995
1748595159.1368275,129,0.8159999847412109
1748595212.144194,130,0.8320000171661377
1748595265.4838204,131,0.8289999961853027
1748595318.6580362,132,0.8180000185966492
1748595372.6265976,133,0.8259999752044678
1748595426.3275216,134,0.8339999914169312
1748595479.4516773,135,0.8209999799728394
1748595532.5523186,136,0.8270000219345093
1748595586.2098413,137,0.824999988079071
1748595639.4042485,138,0.8259999752044678
1748595692.5256248,139,0.8289999961853027
1748595745.5074852,140,0.8410000205039978
1748595798.6307406,141,0.8190000057220459
1748595851.855695,142,0.8190000057220459
1748595905.2886667,143,0.8299999833106995
1748595958.1719518,144,0.8289999961853027
1748596011.228765,145,0.8309999704360962
1748596064.6386578,146,0.8240000009536743
1748596117.9288716,147,0.8309999704360962
1748596170.9077542,148,0.8299999833106995
1748596223.7698963,149,0.8320000171661377
